Plate,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,sample_well
GEP1,1,A,3,105,300105,2014-02-04,None,Amarok,16,A1
GEP1,10,A,3,2,300002,2014-03-04,None,Saracen,16,A10
GEP1,11,A,3,190,300190,2014-03-04,None,Amarok,16,A11
GEP1,12,A,3,123,300123,2014-03-11,None,Saracen,16,A12
GEP1,2,A,3,262,300262,2014-02-04,None,CRWT153,16,A2
GEP1,3,A,3,326,300326,2014-02-11,None,Saracen,16,A3
GEP1,4,A,3,55,300055,2014-02-11,None,Otane,16,A4
GEP1,5,A,3,212,300212,2014-02-11,None,Amarok,16,A5
GEP1,6,A,3,96,300096,2014-02-18,None,Batten Win,16,A6
GEP1,7,A,3,242,300242,2014-02-18,None,Otane,16,A7
GEP1,8,A,3,84,300084,2014-02-25,None,Otane,16,A8
GEP1,9,A,3,159,300159,2014-02-25,None,Amarok,16,A9
GEP1,1,B,3,167,300167,2014-02-04,None,Batten Spr,16,B1
GEP1,10,B,3,158,300158,2014-03-04,None,Batten Win,16,B10
GEP1,11,B,3,309,300309,2014-03-04,None,Saracen,16,B11
GEP1,12,B,3,102,300102,2014-03-11,None,Batten Win,16,B12
GEP1,2,B,3,30,300030,2014-02-04,None,Batten Spr,16,B2
GEP1,3,B,3,80,300080,2014-02-11,None,Batten Spr,16,B3
GEP1,4,B,3,154,300154,2014-02-11,None,Batten Win,16,B4
GEP1,5,B,3,278,300278,2014-02-11,None,Amarok,16,B5
GEP1,6,B,3,63,300063,2014-02-18,None,Amarok,16,B6
GEP1,7,B,3,207,300207,2014-02-18,None,Batten Win,16,B7
GEP1,8,B,3,43,300043,2014-02-25,None,Batten Win,16,B8
GEP1,9,B,3,246,300246,2014-02-25,None,Batten Spr,16,B9
GEP1,1,C,3,140,300140,2014-02-04,None,CRWT153,16,C1
GEP1,10,C,3,8,300008,2014-03-04,None,CRWT153,16,C10
GEP1,11,C,3,88,300088,2014-03-04,None,Amarok,16,C11
GEP1,12,C,3,18,300018,2014-03-11,None,Batten Spr,16,C12
GEP1,2,C,3,306,300306,2014-02-04,None,Amarok,16,C2
GEP1,3,C,3,36,300036,2014-02-11,None,Amarok,16,C3
GEP1,4,C,3,213,300213,2014-02-11,None,Otane,16,C4
GEP1,5,C,3,239,300239,2014-02-18,None,Amarok,16,C5
GEP1,6,C,3,101,300101,2014-02-18,None,Saracen,16,C6
GEP1,7,C,3,225,300225,2014-02-18,None,Batten Spr,16,C7
GEP1,8,C,3,75,300075,2014-02-25,None,Amarok,16,C8
GEP1,9,C,3,251,300251,2014-02-25,None,Otane,16,C9
GEP1,1,D,3,64,300064,2014-02-04,None,CRWT153,16,D1
GEP1,10,D,3,252,300252,2014-03-04,None,Batten Spr,16,D10
GEP1,11,D,3,93,300093,2014-03-04,None,Batten Spr,16,D11
GEP1,12,D,3,9,300009,2014-03-11,None,Amarok,16,D12
GEP1,2,D,3,332,300332,2014-02-04,None,Batten Win,16,D2
GEP1,3,D,3,164,300164,2014-02-11,None,Batten Spr,16,D3
GEP1,4,D,3,261,300261,2014-02-11,None,CRWT153,16,D4
GEP1,5,D,3,175,300175,2014-02-18,None,CRWT153,16,D5
GEP1,6,D,3,130,300130,2014-02-18,None,Saracen,16,D6
GEP1,7,D,3,328,300328,2014-02-18,None,Batten Win,16,D7
GEP1,8,D,3,133,300133,2014-02-25,None,CRWT153,16,D8
GEP1,9,D,3,227,300227,2014-02-25,None,Amarok,16,D9
GEP1,1,E,3,107,300107,2014-02-04,None,Batten Win,16,E1
GEP1,10,E,3,186,300186,2014-03-04,None,CRWT153,16,E10
GEP1,11,E,3,244,300244,2014-03-04,None,CRWT153,16,E11
GEP1,12,E,3,95,300095,2014-03-11,None,Saracen,16,E12
GEP1,2,E,3,243,300243,2014-02-04,None,Batten Spr,16,E2
GEP1,3,E,3,98,300098,2014-02-11,None,CRWT153,16,E3
GEP1,4,E,3,241,300241,2014-02-11,None,Otane,16,E4
GEP1,5,E,3,48,300048,2014-02-18,None,Otane,16,E5
GEP1,6,E,3,193,300193,2014-02-18,None,Amarok,16,E6
GEP1,7,E,3,100,300100,2014-02-25,None,Batten Spr,16,E7
GEP1,8,E,3,253,300253,2014-02-25,None,CRWT153,16,E8
GEP1,9,E,3,132,300132,2014-02-25,None,Batten Spr,16,E9
GEP1,1,F,3,31,300031,2014-02-04,None,Otane,16,F1
GEP1,10,F,3,304,300304,2014-03-04,None,Amarok,16,F10
GEP1,11,F,3,188,300188,2014-03-11,None,Otane,16,F11
GEP1,12,F,3,219,300219,2014-03-11,None,Batten Win,16,F12
GEP1,2,F,3,267,300267,2014-02-04,None,Saracen,16,F2
GEP1,3,F,3,118,300118,2014-02-11,None,Saracen,16,F3
GEP1,4,F,3,184,300184,2014-02-11,None,CRWT153,16,F4
GEP1,5,F,3,32,300032,2014-02-18,None,CRWT153,16,F5
GEP1,6,F,3,220,300220,2014-02-18,None,Otane,16,F6
GEP1,7,F,3,37,300037,2014-02-25,None,CRWT153,16,F7
GEP1,8,F,3,238,300238,2014-02-25,None,Batten Win,16,F8
GEP1,9,F,3,286,300286,2014-02-25,None,Saracen,16,F9
GEP1,1,G,3,157,300157,2014-02-04,None,Amarok,16,G1
GEP1,10,G,3,280,300280,2014-03-04,None,Batten Win,16,G10
GEP1,11,G,3,203,300203,2014-03-11,None,Otane,16,G11
GEP1,12,G,3,258,300258,2014-03-11,None,Amarok,16,G12
GEP1,2,G,3,235,300235,2014-02-04,None,Otane,16,G2
GEP1,3,G,3,53,300053,2014-02-11,None,Saracen,16,G3
GEP1,4,G,3,224,300224,2014-02-11,None,Batten Win,16,G4
GEP1,5,G,3,139,300139,2014-02-18,None,Batten Spr,16,G5
GEP1,6,G,3,312,300312,2014-02-18,None,Saracen,16,G6
GEP1,7,G,3,103,300103,2014-02-25,None,Saracen,16,G7
GEP1,8,G,3,180,300180,2014-02-25,None,Saracen,16,G8
GEP1,9,G,3,39,300039,2014-03-04,None,Batten Win,16,G9
GEP1,1,H,3,211,300211,2014-02-04,None,Otane,16,H1
GEP1,10,H,3,199,300199,2014-03-04,None,Saracen,16,H10
GEP1,11,H,3,323,300323,2014-03-11,None,Otane,16,H11
GEP1,12,H,3,223,300223,2014-03-11,None,CRWT153,16,H12
GEP1,2,H,3,291,300291,2014-02-04,None,Saracen,16,H2
GEP1,3,H,3,52,300052,2014-02-11,None,Batten Win,16,H3
GEP1,4,H,3,297,300297,2014-02-11,None,Batten Spr,16,H4
GEP1,5,H,3,108,300108,2014-02-18,None,Batten Spr,16,H5
GEP1,6,H,3,230,300230,2014-02-18,None,CRWT153,16,H6
GEP1,7,H,3,120,300120,2014-02-25,None,Batten Win,16,H7
GEP1,8,H,3,202,300202,2014-02-25,None,Otane,16,H8
GEP1,9,H,3,168,300168,2014-03-04,None,Batten Spr,16,H9
GEP2,1,A,3,317,300317,2014-03-11,None,Batten Win,16,A1
GEP2,10,A,3,174,300174,2014-04-23,None,Batten Win,16,A10
GEP2,11,A,3,115,300115,2014-05-16,Full,Batten Win,16,A11
GEP2,12,A,3,218,300218,2014-05-16,Full,Batten Win,16,A12
GEP2,2,A,3,17,300017,2014-03-18,None,Amarok,16,A2
GEP2,3,A,3,320,300320,2014-03-18,None,Amarok,16,A3
GEP2,4,A,3,19,300019,2014-03-25,None,Amarok,16,A4
GEP2,5,A,3,219,300219,2014-03-25,None,Batten Win,16,A5
GEP2,6,A,3,71,300071,2014-04-01,None,Saracen,16,A6
GEP2,7,A,3,33,300033,2014-04-09,None,Batten Win,16,A7
GEP2,8,A,3,204,300204,2014-04-09,None,Amarok,16,A8
GEP2,9,A,3,12,300012,2014-04-23,None,CRWT153,16,A9
GEP2,1,B,3,117,300117,2014-03-11,None,Amarok,16,B1
GEP2,10,B,3,318,300318,2014-04-23,None,CRWT153,16,B10
GEP2,11,B,3,144,300144,2014-05-16,Full,Saracen,16,B11
GEP2,12,B,3,129,300129,2014-05-16,Full,Batten Spr,16,B12
GEP2,2,B,3,13,300013,2014-03-18,None,Saracen,16,B2
GEP2,3,B,3,240,300240,2014-03-18,None,CRWT153,16,B3
GEP2,4,B,3,142,300142,2014-03-25,None,Saracen,16,B4
GEP2,5,B,3,292,300292,2014-03-25,None,Saracen,16,B5
GEP2,6,B,3,131,300131,2014-04-01,None,Saracen,16,B6
GEP2,7,B,3,151,300151,2014-04-09,None,CRWT153,16,B7
GEP2,8,B,3,325,300325,2014-04-09,None,Amarok,16,B8
GEP2,9,B,3,86,300086,2014-04-23,None,Amarok,16,B9
GEP2,1,C,3,161,300161,2014-03-11,None,Batten Spr,16,C1
GEP2,10,C,3,197,300197,2014-04-23,None,Amarok,16,C10
GEP2,11,C,3,91,300091,2014-05-16,Full,Amarok,16,C11
GEP2,12,C,3,314,300314,2014-05-16,Full,Saracen,16,C12
GEP2,2,C,3,65,300065,2014-03-18,None,CRWT153,16,C2
GEP2,3,C,3,265,300265,2014-03-18,None,Saracen,16,C3
GEP2,4,C,3,145,300145,2014-03-25,None,CRWT153,16,C4
GEP2,5,C,3,268,300268,2014-03-25,None,Amarok,16,C5
GEP2,6,C,3,275,300275,2014-04-01,None,Amarok,16,C6
GEP2,7,C,3,71,300071,2014-04-09,None,Saracen,16,C7
GEP2,8,C,3,20,300020,2014-04-09,None,Amarok,16,C8
GEP2,9,C,3,155,300155,2014-04-23,None,Batten Win,16,C9
GEP2,1,D,3,125,300125,2014-03-11,None,CRWT153,16,D1
GEP2,10,D,3,330,300330,2014-04-23,None,Amarok,16,D10
GEP2,11,D,3,143,300143,2014-05-16,Full,Otane,16,D11
GEP2,12,D,3,274,300274,2014-05-16,Full,CRWT153,16,D12
GEP2,2,D,3,92,300092,2014-03-18,None,Batten Win,16,D2
GEP2,3,D,3,287,300287,2014-03-18,None,Batten Win,16,D3
GEP2,4,D,3,38,300038,2014-03-25,None,CRWT153,16,D4
GEP2,5,D,3,126,300126,2014-04-01,None,Amarok,16,D5
GEP2,6,D,3,214,300214,2014-04-01,None,Batten Win,16,D6
GEP2,7,D,3,131,300131,2014-04-09,None,Saracen,16,D7
GEP2,8,D,3,195,300195,2014-04-23,None,CRWT153,16,D8
GEP2,9,D,3,153,300153,2014-04-23,None,Amarok,16,D9
GEP2,1,E,3,23,300023,2014-03-11,None,CRWT153,16,E1
GEP2,10,E,3,76,300076,2014-05-16,None,Amarok,16,E10
GEP2,11,E,3,46,300046,2014-05-16,Full,Batten Spr,16,E11
GEP2,12,E,3,72,300072,2014-05-16,Full,Amarok,16,E12
GEP2,2,E,3,148,300148,2014-03-18,None,Batten Spr,16,E2
GEP2,3,E,3,270,300270,2014-03-18,None,Batten Spr,16,E3
GEP2,4,E,3,34,300034,2014-03-25,None,Saracen,16,E4
GEP2,5,E,3,42,300042,2014-04-01,None,CRWT153,16,E5
GEP2,6,E,3,279,300279,2014-04-01,None,Batten Win,16,E6
GEP2,7,E,3,214,300214,2014-04-09,None,Batten Win,16,E7
GEP2,8,E,3,288,300288,2014-04-23,None,Batten Win,16,E8
GEP2,9,E,3,12,300012,2014-04-23,None,CRWT153,16,E9
GEP2,1,F,3,192,300192,2014-03-11,None,Batten Win,16,F1
GEP2,10,F,3,45,300045,2014-05-16,Full,CRWT153,16,F10
GEP2,11,F,3,308,300308,2014-05-16,Full,CRWT153,16,F11
GEP2,12,F,3,25,300025,2014-05-16,Full,Batten Win,16,F12
GEP2,2,F,3,170,300170,2014-03-18,None,Saracen,16,F2
GEP2,3,F,3,206,300206,2014-03-18,None,Batten Win,16,F3
GEP2,4,F,3,47,300047,2014-03-25,None,Batten Win,16,F4
GEP2,5,F,3,33,300033,2014-04-01,None,Batten Win,16,F5
GEP2,6,F,3,310,300310,2014-04-01,None,Saracen,16,F6
GEP2,7,F,3,279,300279,2014-04-09,None,Batten Win,16,F7
GEP2,8,F,3,333,300333,2014-04-23,None,CRWT153,16,F8
GEP2,9,F,3,156,300156,2014-04-23,None,Batten Win,16,F9
GEP2,1,G,3,264,300264,2014-03-11,None,Batten Spr,16,G1
GEP2,10,G,3,329,300329,2014-05-16,Full,Batten Spr,16,G10
GEP2,11,G,3,245,300245,2014-05-16,Full,Amarok,16,G11
GEP2,12,G,3,49,300049,2014-05-16,Full,Otane,16,G12
GEP2,2,G,3,191,300191,2014-03-18,None,Amarok,16,G2
GEP2,3,G,3,81,300081,2014-03-25,None,Batten Spr,16,G3
GEP2,4,G,3,232,300232,2014-03-25,None,CRWT153,16,G4
GEP2,5,G,3,151,300151,2014-04-01,None,CRWT153,16,G5
GEP2,6,G,3,271,300271,2014-04-01,None,CRWT153,16,G6
GEP2,7,G,3,310,300310,2014-04-09,None,Saracen,16,G7
GEP2,8,G,3,293,300293,2014-04-23,None,Amarok,16,G8
GEP2,9,G,3,27,300027,2014-04-23,None,CRWT153,16,G9
GEP2,1,H,3,226,300226,2014-03-11,None,Saracen,16,H1
GEP2,10,H,3,210,300210,2014-05-16,Full,Otane,16,H10
GEP2,11,H,3,50,300050,2014-05-16,Full,Saracen,16,H11
GEP2,12,H,3,195,300195,2014-05-16,None,CRWT153,16,H12
GEP2,2,H,3,196,300196,2014-03-18,None,CRWT153,16,H2
GEP2,3,H,3,147,300147,2014-03-25,None,Amarok,16,H3
GEP2,4,H,3,256,300256,2014-03-25,None,Batten Win,16,H4
GEP2,5,H,3,69,300069,2014-04-01,None,Amarok,16,H5
GEP2,6,H,3,42,300042,2014-04-09,None,CRWT153,16,H6
GEP2,7,H,3,271,300271,2014-04-09,None,CRWT153,16,H7
GEP2,8,H,3,61,300061,2014-04-23,None,Batten Win,16,H8
GEP2,9,H,3,92,300092,2014-04-23,None,Batten Win,16,H9
GEP3,1,A,2,NA,200001,NA,0d R1,Aspiring,16,A1
GEP3,10,A,2,NA,200073,NA,24 d R1,Saracen,16,A10
GEP3,11,A,2,NA,200081,NA,24 d R1,Aspiring,16,A11
GEP3,12,A,2,NA,200089,NA,24 d R1,Macro,16,A12
GEP3,2,A,2,NA,200009,NA,0d R2,Aspiring,16,A2
GEP3,3,A,2,NA,200017,NA,0d R3,Aspiring,16,A3
GEP3,4,A,2,NA,200025,NA,0d R4,Aspiring,16,A4
GEP3,5,A,2,NA,200033,NA,10 d R1,Batten W,16,A5
GEP3,6,A,2,NA,200041,NA,10 d R1,Wakanui,16,A6
GEP3,7,A,2,NA,200049,NA,10 d R1,Macro,16,A7
GEP3,8,A,2,NA,200057,NA,10 d R1,Saracen,16,A8
GEP3,9,A,2,NA,200065,NA,24 d R1,Consort,16,A9
GEP3,1,B,2,NA,200002,NA,0d R1,Wakanui,16,B1
GEP3,10,B,2,NA,200074,NA,24 d R2,Saracen,16,B10
GEP3,11,B,2,NA,200082,NA,24 d R2,Aspiring,16,B11
GEP3,12,B,2,NA,200090,NA,24 d R2,Macro,16,B12
GEP3,2,B,2,NA,200010,NA,0d R2,Wakanui,16,B2
GEP3,3,B,2,NA,200018,NA,0d R3,Wakanui,16,B3
GEP3,4,B,2,NA,200026,NA,0d R4,Wakanui,16,B4
GEP3,5,B,2,NA,200034,NA,10 d R2,Batten W,16,B5
GEP3,6,B,2,NA,200042,NA,10 d R2,Wakanui,16,B6
GEP3,7,B,2,NA,200050,NA,10 d R2,Macro,16,B7
GEP3,8,B,2,NA,200058,NA,10 d R2,Saracen,16,B8
GEP3,9,B,2,NA,200066,NA,24 d R2,Consort,16,B9
GEP3,1,C,2,NA,200003,NA,0d R1,Macro,16,C1
GEP3,10,C,2,NA,200075,NA,24 d R3,Saracen,16,C10
GEP3,11,C,2,NA,200083,NA,24 d R3,Aspiring,16,C11
GEP3,12,C,2,NA,200091,NA,24 d R3,Macro,16,C12
GEP3,2,C,2,NA,200011,NA,0d R2,Macro,16,C2
GEP3,3,C,2,NA,200019,NA,0d R3,Macro,16,C3
GEP3,4,C,2,NA,200027,NA,0d R4,Macro,16,C4
GEP3,5,C,2,NA,200035,NA,10 d R3,Batten W,16,C5
GEP3,6,C,2,NA,200043,NA,10 d R3,Wakanui,16,C6
GEP3,7,C,2,NA,200051,NA,10 d R3,Macro,16,C7
GEP3,8,C,2,NA,200059,NA,10 d R3,Saracen,16,C8
GEP3,9,C,2,NA,200067,NA,24 d R3,Consort,16,C9
GEP3,1,D,2,NA,200004,NA,0d R1,Consort,16,D1
GEP3,10,D,2,NA,200076,NA,24 d R4,Saracen,16,D10
GEP3,11,D,2,NA,200084,NA,24 d R4,Aspiring,16,D11
GEP3,12,D,2,NA,200092,NA,24 d R4,Macro,16,D12
GEP3,2,D,2,NA,200012,NA,0d R2,Consort,16,D2
GEP3,3,D,2,NA,200020,NA,0d R3,Consort,16,D3
GEP3,4,D,2,NA,200028,NA,0d R4,Consort,16,D4
GEP3,5,D,2,NA,200036,NA,10 d R4,Batten W,16,D5
GEP3,6,D,2,NA,200044,NA,10 d R4,Wakanui,16,D6
GEP3,7,D,2,NA,200052,NA,10 d R4,Macro,16,D7
GEP3,8,D,2,NA,200060,NA,10 d R4,Saracen,16,D8
GEP3,9,D,2,NA,200068,NA,24 d R4,Consort,16,D9
GEP3,1,E,2,NA,200005,NA,0d R1,Batten W,16,E1
GEP3,10,E,2,NA,200077,NA,24 d R1,Amarok,16,E10
GEP3,11,E,2,NA,200085,NA,24 d R1,Batten W,16,E11
GEP3,12,E,2,NA,200093,NA,24 d R1,Wakanui,16,E12
GEP3,2,E,2,NA,200013,NA,0d R2,Batten W,16,E2
GEP3,3,E,2,NA,200021,NA,0d R3,Batten W,16,E3
GEP3,4,E,2,NA,200029,NA,0d R4,Batten W,16,E4
GEP3,5,E,2,NA,200037,NA,10 d R1,Aspiring,16,E5
GEP3,6,E,2,NA,200045,NA,10 d R1,CRWT153,16,E6
GEP3,7,E,2,NA,200053,NA,10 d R1,Consort,16,E7
GEP3,8,E,2,NA,200061,NA,10 d R1,Amarok,16,E8
GEP3,9,E,2,NA,200069,NA,24 d R1,CRWT153,16,E9
GEP3,1,F,2,NA,200006,NA,0d R1,Saracen,16,F1
GEP3,10,F,2,NA,200078,NA,24 d R2,Amarok,16,F10
GEP3,11,F,2,NA,200086,NA,24 d R2,Batten W,16,F11
GEP3,12,F,2,NA,200094,NA,24 d R2,Wakanui,16,F12
GEP3,2,F,2,NA,200014,NA,0d R2,Saracen,16,F2
GEP3,3,F,2,NA,200022,NA,0d R3,Saracen,16,F3
GEP3,4,F,2,NA,200030,NA,0d R4,Saracen,16,F4
GEP3,5,F,2,NA,200038,NA,10 d R2,Aspiring,16,F5
GEP3,6,F,2,NA,200046,NA,10 d R2,CRWT153,16,F6
GEP3,7,F,2,NA,200054,NA,10 d R2,Consort,16,F7
GEP3,8,F,2,NA,200062,NA,10 d R2,Amarok,16,F8
GEP3,9,F,2,NA,200070,NA,24 d R2,CRWT153,16,F9
GEP3,1,G,2,NA,200007,NA,0d R1,Amarok,16,G1
GEP3,10,G,2,NA,200079,NA,24 d R3,Amarok,16,G10
GEP3,11,G,2,NA,200087,NA,24 d R3,Batten W,16,G11
GEP3,12,G,2,NA,200095,NA,24 d R3,Wakanui,16,G12
GEP3,2,G,2,NA,200015,NA,0d R2,Amarok,16,G2
GEP3,3,G,2,NA,200023,NA,0d R3,Amarok,16,G3
GEP3,4,G,2,NA,200031,NA,0d R4,Amarok,16,G4
GEP3,5,G,2,NA,200039,NA,10 d R3,Aspiring,16,G5
GEP3,6,G,2,NA,200047,NA,10 d R3,CRWT153,16,G6
GEP3,7,G,2,NA,200055,NA,10 d R3,Consort,16,G7
GEP3,8,G,2,NA,200063,NA,10 d R3,Amarok,16,G8
GEP3,9,G,2,NA,200071,NA,24 d R3,CRWT153,16,G9
GEP3,1,H,2,NA,200008,NA,0d R1,CRWT153,16,H1
GEP3,10,H,2,NA,200080,NA,24 d R4,Amarok,16,H10
GEP3,11,H,2,NA,200088,NA,24 d R4,Batten W,16,H11
GEP3,12,H,2,NA,200096,NA,24 d R4,Wakanui,16,H12
GEP3,2,H,2,NA,200016,NA,0d R2,CRWT153,16,H2
GEP3,3,H,2,NA,200024,NA,0d R3,CRWT153,16,H3
GEP3,4,H,2,NA,200032,NA,0d R4,CRWT153,16,H4
GEP3,5,H,2,NA,200040,NA,10 d R4,Aspiring,16,H5
GEP3,6,H,2,NA,200048,NA,10 d R4,CRWT153,16,H6
GEP3,7,H,2,NA,200056,NA,10 d R4,Consort,16,H7
GEP3,8,H,2,NA,200064,NA,10 d R4,Amarok,16,H8
